Date, Open, High, Low, Close
08/13/12, 6.3604, 6.3641, 6.3604, 6.3641
08/10/12, 6.3603, 6.3604, 6.3603, 6.3604
08/09/12, 6.3624, 6.3624, 6.3603, 6.3603
08/08/12, 6.3677, 6.3677, 6.3624, 6.3624
08/07/12, 6.3750, 6.3750, 6.3677, 6.3677
08/06/12, 6.3725, 6.3750, 6.3725, 6.3750
08/03/12, 6.3686, 6.3725, 6.3686, 6.3725
08/02/12, 6.3698, 6.3698, 6.3686, 6.3686
08/01/12, 6.3628, 6.3698, 6.3628, 6.3698
07/31/12, 6.3806, 6.3806, 6.3628, 6.3628
07/30/12, 6.3817, 6.3817, 6.3806, 6.3806
07/27/12, 6.3851, 6.3851, 6.3817, 6.3817
07/26/12, 6.3896, 6.3896, 6.3851, 6.3851
07/25/12, 6.3881, 6.3896, 6.3881, 6.3896
07/24/12, 6.3872, 6.3881, 6.3872, 6.3881
07/23/12, 6.3749, 6.3872, 6.3749, 6.3872
07/20/12, 6.3758, 6.3758, 6.3749, 6.3749
07/19/12, 6.3723, 6.3758, 6.3723, 6.3758
07/18/12, 6.3742, 6.3742, 6.3723, 6.3723
07/17/12, 6.3798, 6.3798, 6.3742, 6.3742
07/16/12, 6.3944, 6.3944, 6.3798, 6.3798
07/13/12, 6.3747, 6.3944, 6.3747, 6.3944
07/12/12, 6.3730, 6.3747, 6.3730, 6.3747
07/11/12, 6.3686, 6.3730, 6.3686, 6.3730
07/10/12, 6.3723, 6.3723, 6.3686, 6.3686
07/09/12, 6.3658, 6.3723, 6.3658, 6.3723
07/06/12, 6.3570, 6.3658, 6.3570, 6.3658
07/05/12, 6.3486, 6.3570, 6.3486, 6.3570
07/04/12, 6.3536, 6.3536, 6.3486, 6.3486
07/03/12, 6.3497, 6.3536, 6.3497, 6.3536
07/02/12, 6.3566, 6.3566, 6.3497, 6.3497
06/29/12, 6.3584, 6.3584, 6.3566, 6.3566
06/28/12, 6.3586, 6.3586, 6.3584, 6.3584
06/27/12, 6.3637, 6.3637, 6.3586, 6.3586
06/26/12, 6.3644, 6.3644, 6.3637, 6.3637
06/25/12, 6.3659, 6.3659, 6.3644, 6.3644
06/22/12, 6.3654, 6.3659, 6.3654, 6.3659
06/21/12, 6.3615, 6.3654, 6.3615, 6.3654
06/20/12, 6.3557, 6.3615, 6.3557, 6.3615
06/19/12, 6.3585, 6.3585, 6.3557, 6.3557
06/18/12, 6.3670, 6.3670, 6.3585, 6.3585
06/15/12, 6.3720, 6.3720, 6.3670, 6.3670
06/14/12, 6.3507, 6.3720, 6.3507, 6.3720
06/13/12, 6.3716, 6.3716, 6.3507, 6.3507
06/12/12, 6.3447, 6.3716, 6.3447, 6.3716
06/11/12, 6.3751, 6.3751, 6.3447, 6.3447
06/08/12, 6.3682, 6.3751, 6.3682, 6.3751
06/07/12, 6.3649, 6.3682, 6.3649, 6.3682
06/06/12, 6.3684, 6.3684, 6.3649, 6.3649
06/05/12, 6.3651, 6.3684, 6.3651, 6.3684
06/04/12, 6.3707, 6.3707, 6.3651, 6.3651
06/01/12, 6.3696, 6.3707, 6.3696, 6.3707
